Date,Price,Price Change
2019-12-22,7502.92,0.00
2019-12-23,7314.01,-2.52
2019-12-24,7252.04,-0.85
2019-12-25,7201.45,-0.70
2019-12-26,7197.46,-0.06
2019-12-27,7248.4,0.71
2019-12-28,7311.48,0.87
2019-12-29,7383.67,0.99
2019-12-30,7240.43,-1.94
2019-12-31,7189.0,-0.71
2020-01-01,7197.57,0.12
2020-01-02,6962.04,-3.27
2020-01-03,7341.72,5.45
2020-01-04,7350.71,0.12
2020-01-05,7354.36,0.05
2020-01-06,7757.39,5.48
2020-01-07,8152.49,5.09
2020-01-08,8059.84,-1.14
2020-01-09,7818.59,-2.99
2020-01-10,8207.09,4.97
2020-01-11,8020.56,-2.27
2020-01-12,8186.7,2.07
2020-01-13,8113.0,-0.90
2020-01-14,8825.0,8.78
2020-01-15,8825.3,0.00
2020-01-16,8725.08,-1.14
2020-01-17,8918.72,2.22
2020-01-18,8925.0,0.07
2020-01-19,8705.85,-2.46
2020-01-20,8650.0,-0.64
2020-01-21,8742.43,1.07
2020-01-22,8684.57,-0.66
2020-01-23,8409.6,-3.17
2020-01-24,8441.96,0.38
2020-01-25,8344.64,-1.15
2020-01-26,8611.21,3.19
2020-01-27,8913.61,3.51
2020-01-28,9398.98,5.45
2020-01-29,9311.0,-0.94
2020-01-30,9525.67,2.31
2020-01-31,9364.51,-1.69
2020-02-01,9392.74,0.30
2020-02-02,9338.2,-0.58
2020-02-03,9300.64,-0.40
2020-02-04,9198.35,-1.10
2020-02-05,9630.0,4.69
2020-02-06,9778.12,1.54
2020-02-07,9821.52,0.44
2020-02-08,9906.43,0.86
2020-02-09,10167.38,2.63
2020-02-10,9865.56,-2.97
2020-02-11,10229.06,3.68
2020-02-12,10339.99,1.08
2020-02-13,10239.63,-0.97
2020-02-14,10356.82,1.14
2020-02-15,9914.99,-4.27
2020-02-16,9921.86,0.07
2020-02-17,9716.0,-2.07
2020-02-18,10174.32,4.72
2020-02-19,9593.65,-5.71
2020-02-20,9601.99,0.09
2020-02-21,9681.39,0.83
2020-02-22,9659.2,-0.23
2020-02-23,9943.12,2.94
2020-02-24,9662.95,-2.82
2020-02-25,9326.0,-3.49
2020-02-26,8792.22,-5.72
2020-02-27,8828.0,0.41
2020-02-28,8699.57,-1.45
2020-02-29,8531.98,-1.93
2020-03-01,8537.84,0.07
2020-03-02,8919.7,4.47
2020-03-03,8765.0,-1.73
2020-03-04,8756.93,-0.09
2020-03-05,9062.81,3.49
2020-03-06,9139.48,0.85
2020-03-07,8897.18,-2.65
2020-03-08,8038.46,-9.65
2020-03-09,7932.15,-1.32
2020-03-10,7897.66,-0.43
2020-03-11,7938.39,0.52
2020-03-12,4764.65,-39.98
2020-03-13,5570.26,16.91
2020-03-14,5167.01,-7.24
2020-03-15,5357.32,3.68
2020-03-16,5026.26,-6.18
2020-03-17,5307.38,5.59
2020-03-18,5389.64,1.55
2020-03-19,6159.6,14.29
2020-03-20,6203.77,0.72
2020-03-21,6183.69,-0.32
2020-03-22,5810.17,-6.04
2020-03-23,6463.84,11.25
2020-03-24,6741.33,4.29
2020-03-25,6673.41,-1.01
2020-03-26,6733.76,0.90
2020-03-27,6353.64,-5.64
2020-03-28,6230.95,-1.93
2020-03-29,5876.27,-5.69
2020-03-30,6391.08,8.76
2020-03-31,6407.1,0.25
2020-04-01,6641.51,3.66
2020-04-02,6791.63,2.26
2020-04-03,6729.8,-0.91
2020-04-04,6851.1,1.80
2020-04-05,6768.9,-1.20
2020-04-06,7325.73,8.23
2020-04-07,7192.9,-1.81
2020-04-08,7357.66,2.29
2020-04-09,7278.65,-1.07
2020-04-10,6857.82,-5.78
2020-04-11,6874.18,0.24
2020-04-12,6900.52,0.38
2020-04-13,6834.0,-0.96
2020-04-14,6864.11,0.44
2020-04-15,6616.89,-3.60
2020-04-16,7098.15,7.27
2020-04-17,7022.44,-1.07
2020-04-18,7242.42,3.13
2020-04-19,7118.03,-1.72
