Date,Price,Price Change
2019-12-22,132.14,0.00
2019-12-23,127.73,-3.34
2019-12-24,127.76,0.02
2019-12-25,125.06,-2.11
2019-12-26,125.53,0.38
2019-12-27,126.21,0.54
2019-12-28,128.04,1.45
2019-12-29,134.28,4.87
2019-12-30,131.52,-2.06
2019-12-31,129.12,-1.82
2020-01-01,130.62,1.16
2020-01-02,127.11,-2.69
2020-01-03,134.29,5.65
2020-01-04,134.14,-0.11
2020-01-05,135.33,0.89
2020-01-06,144.04,6.44
2020-01-07,142.86,-0.82
2020-01-08,140.75,-1.48
2020-01-09,137.73,-2.15
2020-01-10,144.8,5.13
2020-01-11,142.4,-1.66
2020-01-12,146.57,2.93
2020-01-13,143.58,-2.04
2020-01-14,165.77,15.45
2020-01-15,166.6,0.50
2020-01-16,164.37,-1.34
2020-01-17,170.06,3.46
2020-01-18,174.43,2.57
2020-01-19,167.04,-4.24
2020-01-20,167.03,-0.01
2020-01-21,169.52,1.49
2020-01-22,168.19,-0.78
2020-01-23,162.97,-3.10
2020-01-24,162.63,-0.21
2020-01-25,160.52,-1.30
2020-01-26,167.9,4.60
2020-01-27,170.21,1.38
2020-01-28,175.88,3.33
2020-01-29,173.8,-1.18
2020-01-30,185.14,6.52
2020-01-31,180.14,-2.70
2020-02-01,183.82,2.04
2020-02-02,188.59,2.59
2020-02-03,189.92,0.71
2020-02-04,189.01,-0.48
2020-02-05,204.1,7.98
2020-02-06,213.27,4.49
2020-02-07,223.57,4.83
2020-02-08,223.57,0.00
2020-02-09,228.64,2.27
2020-02-10,223.03,-2.45
2020-02-11,237.16,6.34
2020-02-12,266.24,12.26
2020-02-13,268.48,0.84
2020-02-14,285.4,6.30
2020-02-15,265.08,-7.12
2020-02-16,258.87,-2.34
2020-02-17,268.0,3.53
2020-02-18,282.96,5.58
2020-02-19,258.43,-8.67
2020-02-20,257.11,-0.51
2020-02-21,265.44,3.24
2020-02-22,261.83,-1.36
2020-02-23,274.67,4.90
2020-02-24,265.7,-3.27
2020-02-25,247.03,-7.03
2020-02-26,224.1,-9.28
2020-02-27,227.92,1.70
2020-02-28,227.09,-0.36
2020-02-29,217.31,-4.31
2020-03-01,218.01,0.32
2020-03-02,232.22,6.52
2020-03-03,224.1,-3.50
2020-03-04,224.47,0.17
2020-03-05,228.64,1.86
2020-03-06,244.94,7.13
2020-03-07,237.34,-3.10
2020-03-08,199.54,-15.93
2020-03-09,203.02,1.74
2020-03-10,200.95,-1.02
2020-03-11,194.81,-3.06
2020-03-12,106.71,-45.22
2020-03-13,134.13,25.70
2020-03-14,122.55,-8.63
2020-03-15,123.89,1.09
2020-03-16,111.06,-10.36
2020-03-17,115.68,4.16
2020-03-18,118.16,2.14
2020-03-19,136.42,15.45
2020-03-20,133.52,-2.13
2020-03-21,132.67,-0.64
2020-03-22,122.25,-7.85
2020-03-23,135.96,11.21
2020-03-24,138.38,1.78
2020-03-25,136.1,-1.65
2020-03-26,138.41,1.70
2020-03-27,131.27,-5.16
2020-03-28,130.95,-0.24
2020-03-29,124.4,-5.00
2020-03-30,132.04,6.14
2020-03-31,132.61,0.43
2020-04-01,135.6,2.25
2020-04-02,141.3,4.20
2020-04-03,141.23,-0.05
2020-04-04,144.02,1.98
2020-04-05,142.59,-0.99
2020-04-06,171.15,20.03
2020-04-07,164.55,-3.86
2020-04-08,173.19,5.25
2020-04-09,169.46,-2.15
2020-04-10,157.69,-6.95
2020-04-11,158.19,0.32
2020-04-12,158.72,0.34
2020-04-13,156.37,-1.48
2020-04-14,158.43,1.32
2020-04-15,152.64,-3.65
2020-04-16,172.27,12.86
2020-04-17,170.56,-0.99
2020-04-18,187.48,9.92
2020-04-19,179.97,-4.01
2020-04-20,170.19,-5.43
2020-04-21,170.66,0.28
2020-04-22,182.63,7.01
2020-04-23,185.53,1.59
2020-04-24,187.65,1.14
2020-04-25,194.25,3.52
2020-04-26,197.46,1.65
2020-04-27,196.37,-0.55
2020-04-28,196.31,-0.03
2020-04-29,215.5,9.78
2020-04-30,206.22,-4.31
2020-05-01,212.22,2.91
2020-05-02,213.99,0.83
2020-05-03,209.95,-1.89
2020-05-04,206.73,-1.53
2020-05-05,205.39,-0.65
2020-05-06,199.06,-3.08
2020-05-07,212.25,6.63
2020-05-08,211.47,-0.37
2020-05-09,210.31,-0.55
2020-05-10,187.52,-10.84
2020-05-11,185.69,-0.98
2020-05-12,189.64,2.13
2020-05-13,199.54,5.22
2020-05-14,203.13,1.80
2020-05-15,194.71,-4.15
2020-05-16,200.39,2.92
2020-05-17,206.93,3.26
2020-05-18,214.83,3.82
2020-05-19,214.7,-0.06
2020-05-20,209.96,-2.21
2020-05-21,198.68,-5.37
2020-05-22,207.28,4.33
2020-05-23,206.51,-0.37
2020-05-24,199.7,-3.30
2020-05-25,204.1,2.20
2020-05-26,200.91,-1.56
2020-05-27,208.27,3.66
2020-05-28,220.32,5.79
2020-05-29,220.65,0.15
2020-05-30,243.74,10.46
2020-05-31,231.55,-5.00
2020-06-01,248.9,7.49
2020-06-02,237.73,-4.49
2020-06-03,244.52,2.86
2020-06-04,243.28,-0.51
2020-06-05,240.13,-1.29
2020-06-06,242.05,0.80
2020-06-07,244.66,1.08
2020-06-08,246.65,0.81
2020-06-09,243.98,-1.08
2020-06-10,247.95,1.63
2020-06-11,230.48,-7.05
2020-06-12,237.46,3.03
2020-06-13,238.17,0.30
2020-06-14,231.92,-2.62
2020-06-15,230.86,-0.46
2020-06-16,235.22,1.89
2020-06-17,233.75,-0.62
2020-06-18,231.26,-1.07
2020-06-19,228.97,-0.99
2020-06-20,228.85,-0.05
2020-06-21,228.08,-0.34
2020-06-22,243.14,6.60
2020-06-23,243.12,-0.01
2020-06-24,234.54,-3.53
2020-06-25,232.5,-0.87
2020-06-26,229.66,-1.22
2020-06-27,220.94,-3.80
2020-06-28,224.96,1.82
2020-06-29,227.95,1.33
2020-06-30,225.56,-1.05
2020-07-01,231.03,2.43
2020-07-02,226.54,-1.94
2020-07-03,224.83,-0.75
2020-07-04,229.2,1.94
2020-07-05,227.61,-0.69
2020-07-06,241.63,6.16
2020-07-07,239.45,-0.90
2020-07-08,247.14,3.21
2020-07-09,242.01,-2.08
2020-07-10,241.37,-0.26
2020-07-11,239.25,-0.88
2020-07-12,242.82,1.49
2020-07-13,239.6,-1.33
2020-07-14,240.56,0.40
2020-07-15,238.59,-0.82
2020-07-16,233.74,-2.03
2020-07-17,232.72,-0.44
2020-07-18,235.69,1.28
2020-07-19,239.19,1.49
2020-07-20,236.03,-1.32
2020-07-21,245.56,4.04
2020-07-22,264.27,7.62
2020-07-23,275.56,4.27
2020-07-24,279.45,1.41
2020-07-25,305.64,9.37
2020-07-26,311.41,1.89
2020-07-27,322.33,3.51
2020-07-28,317.21,-1.59
2020-07-29,318.12,0.29
2020-07-30,335.3,5.40
2020-07-31,346.42,3.32
2020-08-01,387.24,11.78
2020-08-02,372.85,-3.72
2020-08-03,386.2,3.58
2020-08-04,390.1,1.01
2020-08-05,400.95,2.78
2020-08-06,395.09,-1.46
2020-08-07,379.63,-3.91
2020-08-08,397.48,4.70
2020-08-09,390.54,-1.75
2020-08-10,395.83,1.35
2020-08-11,379.3,-4.18
2020-08-12,387.46,2.15
2020-08-13,425.34,9.78
2020-08-14,438.84,3.17
2020-08-15,432.75,-1.39
2020-08-16,434.19,0.33
